name,star,comment,class,address,latitude,longitude,bus_count,department_store_count,drink_count,hospital_count,movie_theater_count,MRT_count,night_market_count,park_count,school_count,sports_facilities_count,train_count
發發 府中牧場,4.9,935,冰品飲料店,新北市板橋區重慶路38號,25.0075405,121.4613728,97,29,147,3,4,2,1,26,5,19,1
五桐號WooTea 新北板橋莒光店,4.3,70,冰品飲料店,新北市板橋區莒光路26號,25.0245692,121.4700429,70,3,127,2,0,3,0,18,8,20,0
COMEBUY_板橋文德店,4.1,56,冰品飲料店,新北市板橋區文德路61號,25.0235658,121.4613466,71,3,135,4,0,2,1,14,6,20,0
龜記茗品-環球店,2.4,142,冰品飲料店,新北市板橋區縣民大道二段7號B1 21076櫃,25.0142426,121.4636617,91,27,125,3,3,3,0,25,5,25,1
初豆製漿所（重慶店）,4.2,90,冰品飲料店,新北市板橋區重慶路159號,25.0029045,121.4627654,97,19,118,3,1,1,1,25,3,10,0
蔗醴,4.5,221,冰品飲料店,新北市板橋區陽明街117號,25.0234628,121.4636932,78,3,134,3,0,2,1,15,5,22,0
伊莉莎白紅茶書房-板橋四維殿,4.7,228,冰品飲料店,新北市板橋區四維路152號,25.0257948,121.4650009,65,3,129,3,0,3,1,17,5,24,0
露地茶事,3.7,47,冰品飲料店,新北市板橋區文化路一段188巷7弄42號,25.0193445,121.4681576,85,19,134,2,2,4,0,16,5,24,1
歐力順,0.0,0,茶葉店,新北市土城區德興街125號,24.9920449,121.4548095,72,2,66,2,0,2,0,15,3,13,0
好了啦紅茶冰(土城永豐店),5.0,1,冰品飲料店,新北市土城區永豐路135巷11號,24.9835455,121.4672072,54,1,49,0,0,0,0,17,3,2,0
菉茶坊,0.0,0,無酒精飲料店,新北市土城區承天路1號,24.9663515,121.4359534,44,0,13,1,0,1,0,8,2,3,0
功夫茶 KUNGFUTEA 土城中央店,4.3,118,珍珠奶茶,新北市土城區中央路一段195號,24.9869407,121.4460896,43,1,55,1,1,1,0,17,4,3,0
清心福全土城頂埔店,4.1,183,無酒精飲料店,新北市土城區中央路四段89號,24.9580054,121.4170157,24,0,14,0,0,1,0,12,1,1,0
青芽摘CHING YA TEA 板橋裕民店,4.3,110,冰品飲料店,新北市板橋區裕民街112號,25.0278275,121.4594673,48,1,74,1,0,1,1,16,5,15,0
紅茶小清新/ 買五送一 速速來電??????,4.7,69,冰品飲料店,新北市板橋區松柏街64-2號,25.0303577,121.4759761,55,0,69,0,0,1,0,19,4,11,0
七盞茶 板橋民生店,4.5,52,冰品飲料店,新北市板橋區民生路三段62號,25.0254362,121.4672131,78,3,135,3,0,3,1,17,5,22,0
50嵐 亞東店,3.8,386,冰品飲料店,新北市板橋區四川路二段41號,24.9952617,121.4541546,66,3,55,4,0,1,0,14,4,10,0
宜興茶行,0.0,0,茶葉店,新北市土城區學府路一段143巷16號,24.9855282,121.4539231,76,1,69,2,0,1,0,24,4,12,0
傳統豆花,4.9,118,冰品飲料店,新北市土城區中央路四段207號,24.9558991,121.4139821,15,0,9,0,0,1,0,11,1,1,0
糖口鮮果茶,4.4,61,冰品飲料店,新北市樹林區學成路583號,24.9465549,121.3808554,63,5,25,0,0,0,0,6,4,0,0
茶癮Cha Yin 複合式茶飲專賣店-大有創始店,4.2,13,冰品飲料店,新北市樹林區大有路124號,24.9496971,121.3838536,50,2,13,0,0,0,0,6,4,0,0
鮮茶道樹林柑園店,4.3,48,冰品飲料店,新北市樹林區柑園街一段373號,24.955764,121.3885599,27,0,6,0,0,0,0,1,3,0,0
清心福全樹林柑園店-珍珠奶茶手搖飲料專賣店,3.9,63,冰品飲料店,新北市樹林區柑園街一段371號,24.9558213,121.3886362,26,0,6,0,0,0,0,1,3,0,0
探卡屋,5.0,5,冰品飲料店,新北市樹林區柑園街一段373號,24.955764,121.3885599,27,0,6,0,0,0,0,1,3,0,0
晴妞輕食小站,3.3,3,冰品飲料店,新北市樹林區國凱街21-1號,24.978374,121.4190888,38,2,23,0,0,0,0,10,4,4,0
迷客夏Milksha 新北樹林中華店,3.6,67,冰品飲料店,新北市樹林區中華路98號,24.9811198,121.4185167,57,3,28,0,0,0,0,13,5,2,1
土城阿里山愛玉,4.9,10,冰品飲料店,新北市土城區承天路141號,24.9493304,121.4495223,13,0,1,0,0,0,0,0,0,0,0
