name,star,comment,class,address,latitude,longitude,school_counts,drink_counts,train_counts,bus_counts,park_counts,night_market_counts,sports_facilities_counts,mrt_counts,movie_theater_counts,hospital_counts,district,neighborhood,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,行政區_x,平勳人流,行政區_y,刊登平均,成交平均
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,4,41,0,74,9,0,0,0,0,2,三峽區,中正里,新北市,土城區,中正里,1027.0,692695.0,674.0,431.0,205.0,871.0,794.81,117.84,三峽區,2038.200813195466,三峽區,1071.0,1059.0
50嵐 三峽光明店,4.8,116,冰品飲料店,新北市三峽區光明路100-3號,24.9281327,121.3760502,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,台北市,松山區,介壽里,1457.0,1989194.0,1365.0,762.0,279.0,1574.0,2176.72,159.44,三峽區,2038.200813195466,三峽區,1071.0,1059.0
50嵐 三峽光明店,4.8,116,冰品飲料店,新北市三峽區光明路100-3號,24.9281327,121.3760502,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,三重區,介壽里,334.0,201753.0,604.0,385.0,173.0,676.0,738.9,122.32,三峽區,2038.200813195466,三峽區,1071.0,1059.0
50嵐 三峽光明店,4.8,116,冰品飲料店,新北市三峽區光明路100-3號,24.9281327,121.3760502,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,板橋區,介壽里,880.0,646016.0,734.0,460.0,222.0,989.0,814.97,111.01,三峽區,2038.200813195466,三峽區,1071.0,1059.0
50嵐 三峽光明店,4.8,116,冰品飲料店,新北市三峽區光明路100-3號,24.9281327,121.3760502,4,44,0,78,9,0,0,0,0,2,三峽區,介壽里,新北市,三峽區,介壽里,1717.0,866095.0,504.0,361.0,188.0,633.0,741.9,147.08,三峽區,2038.200813195466,三峽區,1071.0,1059.0
COMEBUY_三峽光明店,4.2,52,冰品飲料店,新北市三峽區光明路17號,24.9313579,121.37325,7,59,0,96,13,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
自己來 紅茶鮮乳 三峽愛國店,3.6,19,冰品飲料店,新北市三峽區愛國路32-10號,24.932998,121.3748773,8,58,0,99,13,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
樹林青草茶,4.7,12,冰品飲料店,新北市三峽區民族街,24.9316832,121.3686455,6,59,0,95,10,0,3,0,0,2,三峽區,八張里,新北市,三峽區,八張里,1081.0,635259.0,588.0,394.0,198.0,742.0,746.94,127.11,三峽區,2038.200813195466,三峽區,1071.0,1059.0
森木坊古早冰,4.7,169,冰品飲料店,新北市三峽區秀川街88號,24.9334467,121.370201,7,61,0,98,13,0,4,0,0,2,三峽區,三峽里,新北市,三峽區,三峽里,70.0,41129.0,588.0,426.0,273.0,759.0,558.71,95.09,三峽區,2038.200813195466,三峽區,1071.0,1059.0
得正#三峽文化計劃,5.0,7,冰品飲料店,新北市三峽區文化路60號,24.9362408,121.3724963,7,71,0,98,13,0,4,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
市民小站三峽愛國店,4.3,41,冰品飲料店,新北市三峽區愛國路32-8號,24.9330274,121.3745909,8,58,0,99,13,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
可不可熟成紅茶-三峽文化店,4.0,39,冰品飲料店,新北市三峽區文化路5號,24.9355342,121.3732848,8,73,0,100,14,0,2,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
涼水庫愛國店,5.0,1,冰品飲料店,新北市三峽區愛國路2號,24.933996,121.3741324,8,69,0,102,14,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦-三峽愛國店,5.0,1,冰品飲料店,新北市三峽區愛國路24號對面號,24.9333949,121.3742639,8,63,0,102,14,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
50嵐 三峽文化店,3.9,491,冰品飲料店,新北市三峽區文化路26號,24.9360019,121.3732319,7,73,0,97,14,0,4,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
愛茶咖 i - Cha Ca Coffee & Tea,4.9,7,冰品飲料店,新北市三峽區民權街117號,24.932275,121.369141,7,59,0,97,12,0,4,0,0,2,三峽區,三峽里,新北市,三峽區,三峽里,70.0,41129.0,588.0,426.0,273.0,759.0,558.71,95.09,三峽區,2038.200813195466,三峽區,1071.0,1059.0
龜記茗品-三峽文化店,4.5,146,冰品飲料店,新北市三峽區文化路7號,24.9354679,121.373238,8,73,0,100,13,0,2,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦-紅茶冰,4.0,5,冰品飲料店,新北市三峽區正義街61號號,24.918473,121.3692115,2,3,0,49,1,0,0,0,0,0,三峽區,中溪里,新北市,永和區,中溪里,1622.0,1351143.0,833.0,498.0,224.0,1051.0,1031.92,123.88,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦！三峽和平店,3.0,2,冰品飲料店,新北市三峽區和平街60號,24.9378497,121.3704018,6,68,0,85,11,0,6,0,0,1,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
三峽青草茶,0.0,0,冰品飲料店,新北市三峽區民生街178號門口附近,24.935002,121.37129,8,70,0,98,12,0,4,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
上宇林三峽和平店,4.5,82,冰品飲料店,新北市三峽區和平街24之3號,24.9362858,121.3703514,7,65,0,88,12,0,4,0,0,1,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
陳Q古早黑砂糖剉冰 三峽光明店,3.9,61,冰品飲料店,"No. 29-1號, 光明路三峽區新北市237",24.9310724,121.3734778,7,58,0,94,13,0,2,0,0,2,三峽區,礁溪里,新北市,三峽區,礁溪里,1743.0,1058019.0,607.0,423.0,214.0,779.0,620.42,102.21,三峽區,2038.200813195466,三峽區,1071.0,1059.0
現帶茶,4.7,10,冰品飲料店,新北市三峽區和平街73號,24.9371852,121.3701056,6,66,0,82,10,0,5,0,0,1,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
大苑子,3.5,221,冰品飲料店,新北市三峽區和平街101號,24.9381192,121.3702556,6,68,0,85,11,0,6,0,0,1,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
一枝冰商行,4.7,7,冰品飲料店,新北市三峽區嘉添路181-24號號1樓,24.9108246,121.3710066,3,2,0,45,0,0,0,0,0,0,三峽區,嘉添里,新北市,三峽區,嘉添里,524.0,304771.0,582.0,336.0,178.0,665.0,984.23,169.22,三峽區,2038.200813195466,三峽區,1071.0,1059.0
吉品仙草小棧,4.5,127,冰品飲料店,新北市三峽區中山路129號,24.9360427,121.3652347,5,49,0,61,7,0,4,0,0,1,三峽區,鳶山里,新北市,三峽區,鳶山里,2896.0,1892242.0,653.0,415.0,202.0,804.0,816.73,125.0,三峽區,2038.200813195466,三峽區,1071.0,1059.0
好了啦三峽國光店,0.0,0,冰品飲料店,新北市三峽區國光街34號,24.9376488,121.3750729,7,67,0,93,13,0,2,0,0,2,三峽區,龍埔里,新北市,三峽區,龍埔里,2836.0,1869282.0,659.0,439.0,208.0,866.0,760.15,115.33,三峽區,2038.200813195466,三峽區,1071.0,1059.0
三峽 古早味黑砂糖剉冰,3.1,7,冰品飲料店,新北市三峽區中山路4號1樓,24.9344364,121.3698974,6,66,0,96,12,0,4,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
期香茶棧三峽店,4.0,25,無酒精飲料店,新北市三峽區民生街193號,24.9347746,121.3718143,8,70,0,98,13,0,4,0,0,3,三峽區,秀川里,新北市,三峽區,秀川里,160.0,101248.0,633.0,408.0,202.0,821.0,722.66,114.2,三峽區,2038.200813195466,三峽區,1071.0,1059.0
